CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
4/18/2021,10:06,BROOKLYN,11207,40.67398,-73.8993,"(40.67398, -73.899315)",LIBERTY AVENUE,ALABAMA AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,,,4408808,Sedan,Sedan,Ambulance,,
4/24/2021,16:00,QUEENS,11368,40.75311,-73.86,"(40.753113, -73.86)",108 STREET,37 DRIVE,,1,0,0,0,0,0,1,0,Driver Inexperience,Driver Inattention/Distraction,Driver Inattention/Distraction,,,4410548,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
4/20/2021,9:20,STATEN ISLAND,10301,40.64666,-74.0889,"(40.646664, -74.088936)",JERSEY STREET,RICHMOND TERRACE,,0,0,0,0,0,0,0,0,Backing Unsafely,Vehicle Vandalism,Unspecified,Unspecified,,4410995,Sedan,Sedan,Sedan,Sedan,
3/27/2022,0:15,QUEENS,11429,40.70768,-73.7451,"(40.70768, -73.74512)",212 STREET,110 AVENUE,,5,0,0,0,0,0,5,0,Other Vehicular,Other Vehicular,Unspecified,Unspecified,,4513786,Sedan,Sedan,Sedan,Sedan,
12/16/2021,12:17,MANHATTAN,10022,40.76291,-73.9698,"(40.762913, -73.96981)",PARK AVENUE,EAST 59 STREET,,2,0,0,0,0,0,2,0,Outside Car Distraction,Outside Car Distraction,Following Too Closely,,,4488237,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
12/16/2021,22:50,BROOKLYN,11221,40.69093,-73.9207,"(40.690926, -73.92066)",GATES AVENUE,BUSHWICK AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4488315,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
4/26/2021,7:27,QUEENS,11436,40.68384,-73.8026,"(40.68384, -73.802574)",141 STREET,LINDEN BOULEVARD,,2,0,0,0,0,0,2,0,Following Too Closely,Following Too Closely,Following Too Closely,Unspecified,,4411571,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,
9/15/2021,13:05,BRONX,10454,40.80565,-73.9206,"(40.80565, -73.92062)",BROOK AVENUE,EAST 135 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Passing or Lane Usage Improper,Unspecified,Unspecified,,4457696,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
9/17/2021,7:00,QUEENS,11436,40.67253,-73.7984,"(40.67253, -73.798386)",142 STREET,SUTTER AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Unspecified,,,4458113,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
9/17/2021,9:15,QUEENS,11375,40.72038,-73.8555,"(40.720375, -73.855515)",YELLOWSTONE BOULEVARD,EXETER STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,Unspecified,,,4458141,Sedan,E-Bike,Sedan,,
9/15/2021,23:30,QUEENS,11370,40.76678,-73.894,"(40.766777, -73.89404)",75 STREET,ASTORIA BOULEVARD,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,Unspecified,,4457718,Sedan,Sedan,Sedan,,
9/16/2021,20:20,BROOKLYN,11236,40.63937,-73.9113,"(40.639366, -73.9113)",EAST 85 STREET,GLENWOOD ROAD,,4,0,0,0,0,0,4,0,Traffic Control Disregarded,Failure to Yield Right-of-Way,Unspecified,Unspecified,,4457970,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,
9/15/2021,1:20,BRONX,10469,40.88014,-73.852,"(40.88014, -73.852036)",LACONIA AVENUE,EAST 219 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,Unspecified,,,4458115,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
9/15/2021,16:30,STATEN ISLAND,10306,40.5833,-74.0999,"(40.583298, -74.099915)",HUSSON STREET,STOBE AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Traffic Control Disregarded,Traffic Control Disregarded,,,4457614,Sedan,Sedan,Sedan,,
12/18/2021,0:22,BRONX,10454,40.80549,-73.9103,"(40.80549, -73.91031)",EAST 140 STREET,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,4488314,Sedan,Sedan,Sedan,,
4/28/2021,19:00,BROOKLYN,11224,40.5732,-73.9928,"(40.573196, -73.99278)",WEST 27 STREET,SURF AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,4411993,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
4/29/2021,8:15,MANHATTAN,10031,40.82782,-73.9439,"(40.827816, -73.94391)",CONVENT AVENUE,WEST 150 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Failure to Yield Right-of-Way,Unspecified,,,4411718,Sedan,Sedan,Sedan,,
4/28/2021,16:19,BROOKLYN,11206,40.70605,-73.9413,"(40.706047, -73.94129)",HUMBOLDT STREET,BOERUM STREET,,1,0,0,0,0,0,1,0,Alcohol Involvement,Driver Inattention/Distraction,Unspecified,,,4411536,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
5/1/2021,16:50,QUEENS,11420,40.666,-73.8165,"(40.665997, -73.81648)",NORTH CONDUIT AVENUE,124 STREET,,2,0,0,0,0,0,2,0,Other Vehicular,Passing or Lane Usage Improper,Oversized Vehicle,,,4412686,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
4/27/2021,23:40,BROOKLYN,11226,40.65155,-73.9526,"(40.651546, -73.95257)",MARTENSE STREET,ROGERS AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Traffic Control Disregarded,Unspecified,,,4412977,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
9/18/2021,17:16,BRONX,10469,40.8703,-73.8399,"(40.8703, -73.839905)",ADEE AVENUE,TIEMANN AVENUE,,2,0,0,0,0,0,2,0,Unsafe Speed,Driver Inattention/Distraction,Unspecified,,,4458761,Sedan,Sedan,Sedan,,
5/2/2021,15:35,BROOKLYN,11207,40.68109,-73.9034,"(40.68109, -73.90338)",BUSHWICK AVENUE,STEWART STREET,,1,0,0,0,0,0,1,0,Other Vehicular,Following Too Closely,Following Too Closely,,,4413025,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
5/2/2021,13:07,QUEENS,11101,40.7463,-73.9304,"(40.746296, -73.93041)",43 AVENUE,34 STREET,,1,0,0,0,0,0,1,0,Unsafe Speed,Driver Inattention/Distraction,Unspecified,Unspecified,,4412524,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,
12/19/2021,3:27,QUEENS,11375,40.72136,-73.837,"(40.72136, -73.837036)",72 ROAD,113 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4488187,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
5/3/2021,1:05,BROOKLYN,11213,40.67103,-73.9393,"(40.671032, -73.93927)",ALBANY AVENUE,SAINT JOHNS PLACE,,4,0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Unspecified,,,4413692,Sedan,Sedan,Sedan,,
5/3/2021,16:40,QUEENS,11691,40.59514,-73.754,"(40.59514, -73.754)",SEAGIRT BOULEVARD,BEACH 20 STREET,,2,0,0,0,0,0,2,0,Turning Improperly,Other Vehicular,Other Vehicular,,,4413547,Sedan,Sedan,Sedan,,
5/3/2021,17:30,STATEN ISLAND,10310,40.62452,-74.117,"(40.624523, -74.11702)",CLOVE ROAD,MARTLING AVENUE,,4,0,0,0,0,0,4,0,Following Too Closely,Following Too Closely,Following Too Closely,Following Too Closely,Unspecified,4413171,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
9/19/2021,21:50,BRONX,10469,40.87123,-73.856,"(40.87123, -73.85604)",BURKE AVENUE,BOSTON ROAD,,2,0,0,0,0,0,2,0,Alcohol Involvement,Other Vehicular,Other Vehicular,,,4458984,Sedan,Sedan,Sedan,,
12/19/2021,19:00,BROOKLYN,11234,40.62374,-73.9245,"(40.62374, -73.92448)",AVENUE L,EAST 53 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,4488233,Station Wagon/Sport Utility Vehicle,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,
5/2/2021,23:10,MANHATTAN,10024,40.78637,-73.976,"(40.786366, -73.97598)",AMSTERDAM AVENUE,WEST 84 STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Driver Inattention/Distraction,Unspecified,,,4414064,Sedan,Sedan,Sedan,,
5/4/2021,16:14,QUEENS,11416,40.6842,-73.8586,"(40.684204, -73.85858)",ROCKAWAY BOULEVARD,82 STREET,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Passing Too Closely,Unspecified,,,4413551,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
4/28/2021,16:00,QUEENS,11423,40.70871,-73.7791,"(40.70871, -73.77905)",182 STREET,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Speed,Unspecified,,,4414035,Bus,Sedan,Station Wagon/Sport Utility Vehicle,,
3/28/2022,7:12,BROOKLYN,11212,40.66381,-73.9112,"(40.66381, -73.91117)",BRISTOL STREET,DUMONT AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Other Vehicular,Other Vehicular,,,4514654,Bus,Sedan,Station Wagon/Sport Utility Vehicle,,
9/20/2021,10:00,QUEENS,11423,40.70841,-73.7679,"(40.708405, -73.7679)",FARMERS BOULEVARD,HENDERSON AVENUE,,1,0,0,0,0,0,1,0,Passing Too Closely,Passing or Lane Usage Improper,Unspecified,,,4459162,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
5/5/2021,17:00,QUEENS,11377,40.75399,-73.9003,"(40.75399, -73.90031)",62 STREET,NORTHERN BOULEVARD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4413736,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,
5/5/2021,21:29,QUEENS,11420,40.67978,-73.8239,"(40.67978, -73.823875)",116 STREET,111 AVENUE,,1,0,0,0,0,0,1,0,Other Vehicular,Passing or Lane Usage Improper,Unspecified,,,4413787,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
5/6/2021,21:10,QUEENS,11691,40.59616,-73.7471,"(40.59616, -73.74713)",BEACH 13 STREET,HEYSON ROAD,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Failure to Yield Right-of-Way,Unspecified,,,4414329,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
5/5/2021,0:00,BRONX,10467,40.86536,-73.8704,"(40.86536, -73.87043)",BRONX PARK EAST,ALLERTON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Unspecified,Unspecified,Unspecified,4414750,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
5/6/2021,14:55,BRONX,10458,40.85611,-73.8825,"(40.85611, -73.88252)",CROTONA AVENUE,EAST 189 STREET,,2,0,0,0,0,0,2,0,Unsafe Speed,Failure to Yield Right-of-Way,Unspecified,,,4414371,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
5/7/2021,20:20,BROOKLYN,11226,40.648,-73.9528,"(40.647995, -73.952774)",ALBEMARLE ROAD,VERONICA PLACE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unsafe Speed,Unspecified,Unspecified,,4414704,Sedan,Sedan,Sedan,Sedan,
5/6/2021,10:00,QUEENS,11417,40.67472,-73.8584,"(40.67472, -73.85839)",78 STREET,SUTTER AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unsafe Speed,Unspecified,Unspecified,,4413948,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
5/2/2021,11:00,STATEN ISLAND,10301,40.62069,-74.11,"(40.620686, -74.11002)",CLOVE ROAD,BARD AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4414512,Sedan,Sedan,Sedan,,
5/7/2021,6:15,QUEENS,11420,40.66708,-73.8103,"(40.66708, -73.81033)",NORTH CONDUIT AVENUE,130 STREET,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,Other Vehicular,,,4414359,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
5/6/2021,8:13,QUEENS,11420,40.66549,-73.8195,"(40.66549, -73.819534)",122 STREET,NORTH CONDUIT AVENUE,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Other Vehicular,Other Vehicular,,,4413947,Sedan,Convertible,Station Wagon/Sport Utility Vehicle,,
5/5/2021,17:19,BROOKLYN,11220,40.63655,-74.0287,"(40.636547, -74.02866)",BAY RIDGE AVENUE,RIDGE BOULEVARD,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,Unspecified,,,4413769,Station Wagon/Sport Utility Vehicle,Taxi,Sedan,,
5/7/2021,8:00,QUEENS,11427,40.72054,-73.7568,"(40.720535, -73.75682)",89 AVENUE,208 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,Unspecified,,,4414461,Pick-up Truck,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
5/5/2021,6:30,BROOKLYN,11210,40.62865,-73.9521,"(40.628647, -73.95207)",BEDFORD AVENUE,AVENUE I,,1,0,0,0,0,0,1,0,Other Vehicular,Traffic Control Disregarded,Other Vehicular,,,4413833,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
5/4/2021,21:35,BROOKLYN,11221,40.69048,-73.9395,"(40.690483, -73.93954)",MARCUS GARVEY BOULEVARD,VAN BUREN STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4414786,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
12/20/2021,20:48,QUEENS,11419,40.68605,-73.8317,"(40.68605, -73.831726)",103 AVENUE,111 STREET,,4,0,0,0,0,0,4,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Unspecified,,4488518,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,
9/21/2021,19:50,BROOKLYN,11234,40.61679,-73.9237,"(40.61679, -73.92373)",EAST 53 STREET,AVENUE O,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4459870,Sedan,Sedan,Sedan,,
5/4/2021,17:30,STATEN ISLAND,10301,40.61519,-74.1026,"(40.615185, -74.10258)",CLOVE ROAD,GENESEE STREET,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Following Too Closely,Unspecified,,,4415055,Sedan,Sedan,Sedan,,
12/20/2021,16:10,BRONX,10468,40.86173,-73.9118,"(40.86173, -73.91182)",WEST FORDHAM ROAD,CEDAR AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Following Too Closely,Following Too Closely,,,4488447,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sprinter V,,
12/20/2021,8:49,BROOKLYN,11234,40.63091,-73.9204,"(40.630905, -73.920425)",AVENUE I,EAST 58 STREET,,7,0,0,0,0,0,7,0,Fell Asleep,Turning Improperly,Unspecified,Unspecified,,4488235,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
5/9/2021,15:12,BRONX,10468,40.86379,-73.9003,"(40.863785, -73.90028)",JEROME AVENUE,EAST 190 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Passing or Lane Usage Improper,Unspecified,,,4414882,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
5/9/2021,16:20,BROOKLYN,11211,40.71169,-73.9512,"(40.711693, -73.95124)",UNION AVENUE,HOPE STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Following Too Closely,Pavement Slippery,,,4414798,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
7/1/2022,19:53,BROOKLYN,11230,40.63149,-73.9719,"(40.631493, -73.971855)",OCEAN PARKWAY,NEWKIRK AVENUE,,1,0,0,0,0,0,1,0,Unsafe Speed,Unsafe Speed,Unspecified,,,4542988,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
9/10/2021,15:30,QUEENS,11377,40.73698,-73.8942,"(40.73698, -73.89417)",GARFIELD AVENUE,70 STREET,,2,0,0,0,0,0,2,0,Brakes Defective,Failure to Yield Right-of-Way,Unspecified,,,4456916,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
9/22/2021,9:30,QUEENS,11101,40.74287,-73.9339,"(40.742874, -73.933945)",VANDAM STREET,47 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4459803,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
9/22/2021,10:30,QUEENS,11368,40.75703,-73.8713,"(40.757034, -73.87133)",97 STREET,NORTHERN BOULEVARD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,4460313,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
